ICAO CODE,FLIGHT NUMBER,สายการบิน,เลขที่อนุมัติ,,บ.แบบ,ต้นทาง,เวลา,ปลายทาง,เวลา,ระยะเวลา
CSC,"CSC8093,CSC8094",SICHUAN A/L,กพท 08/10583,,,,,,,28 OCT 18 - 30 MAR 19
CSH,FM+NUMBER ,SHANGHAI A/L,กพท 08/10069,,B737/B738,,,,,28 OCT 18 - 30 MAR 19
CSN,CZ+NUMBER,CHINA SOUTHERN,กพท 08/10411,,,,,,,28 OCT 18 - 30 MAR 19
CSZ,ZH+NUMBER,SHENZHEN A/L,กพท 08/10148,,B738/A320,,,,,28 OCT 18 - 30 MAR 19
CXA,MF+NUMBER,XIAMEN A/L,กพท 08/9479,,"B737 ,B757",,,,,28 OCT 18 - 30 MAR 19
DKH,HO+NUMBER,JUNEYAO A/L,กพท 08/10034,,A320/A321,,,,,28 OCT 18 - 30 MAR 19
DLH,LH+NUMBER,LUFTHANSA  A/L,กพท 08/10103,,A343/A388,,,,,28 OCT 18 - 30 MAR 19
DQA,Q+NUMBER,MALDIVIAN,กพท 08/10319,,A320/A321,,,,,28 OCT 18 - 30 MAR 19
DRK,KB..+NUMBER,DRUK AIR ,กพท 08/10687,,A319,,,,,28 OCT 18 - 30 MAR 19
EDW,WK+NUMBER,"EDELWEISS AIR,SWISS AIR",กพท 08/10180,กพท 08/10217,A343,,,,,28 OCT 18 - 30 MAR 19
ELY,LY+NUMBER,EL AL ISRAEL A/L,กพท 08/10511,,,,,,,28 OCT 18 - 30 MAR 19
ESR,ZE+NUMBER,EASTAR JET,กพท 08/10267,,B737,,,,,28 OCT 18 - 30 MAR 19
ETD,ETD(EY)+NUMBER,ETIHAD A/W,กพท  08/10211,กพท 08/10030,"A330/B777,A380/B787/B788/A330/B777",,,,,28 OCT 18 - 30 MAR 19
ETH,ET+..number..,ETHIOPIAN A/L,กพท 08/10564,,"A350/B757,B767,B777,B788,B789",,,,,28 OCT 18 - 30 MAR 19
EVA,BR+NUMBER,EVA AIR,กพท 08/10579,,,,,,,28 OCT 18 - 30 MAR 19
EWG,EW+NUMBER,EUROWINGS,กพท 08/10423,,A330,,,,,28 OCT 18 - 30 MAR 19
FDB,"FZ0523,FZ0521,FZ0522,FZ0524",FLYDUBAI A/L,,,B737,,,,,29  OCT 17 - 24 MAR 18
FDX,FX+NUMBER,FEDERAL EXPRESS,กพท 08/9457,กพท 08/9331,A300/A310/B757/B767/B777/MD11,,,,,28 OCT 18 - 30 MAR 19
FFM,FY+NUMBER,FLYFIREFLY SDN BHD,กพท 08/9431,,ATR72-500,,,,,28 OCT 18 - 30 MAR 19
FIN,AY+NUMBER,FINNAIR,กพท 08/10539,,A330/A350,,,,,28 OCT 18 - 30 MAR 19
GCR,"GS7953,GS7954",TIANJIN A/L,,,A320,,,,,25 MAR 18 - 27 OCT 18
GEC,LH+NUMBER,LUFTHANSA CARGO,กพท 08/9385,,MD11F/B777F,,,,,28 OCT 18 - 30 MAR 19
GFA,"GFA150/GFA151,/GFA152/GFA153,GFA154,GFA155",GULF AIR,กพท 08/10702,,A330/B787,,,,,28 OCT 18 - 30 MAR 19
GIA,GA+NUMBER,GARUDA INDONESIA,กพท 08/10419,,A330/A332/A333/B738/B777,,,,,28 OCT 18 - 30 MAR 19
GTI,"5Y+NUMBER,GTI8135,GTI8136",ATLAS AIR INC,กพท 08/10228,,,,,,,28 OCT 18 - 30 MAR 19
GOW,G8+NUMBER,GO AIRLINES,กพท 08/10758,,A320-200,,,,,28 OCT 18 - 30 MAR 19
HBH,NS+NUMBER,HEBEI A/L,กพท 08/10240,,B737,,,,,28 OCT 18 - 30 MAR 19
HDA,KA+NUMBER,HONG KONG DRAGON A/L LIMITED,กพท 08/10115,,A320/A321/A32M,,,,,28 OCT 18 - 30 MAR 19
HKE,UO + NUMBER,HONG KONG EXPRESS,กพท 08/10107,,A320,,,,,28 OCT 18 - 31 MAR 19
HIM,"H9+NUMBER,HIM890,HIM891",F,กพท 08/9126,,A320-214,,,,,28 OCT 18 - 31 MAR 19
HKC,RH+NUMBER,HONG KONG AIR CARGO CARRIER LIMITED,,,A330,,,,,25 MAR 18 - 27 OCT 18
HVN,VN+NUMBER,VIETNAM A/L,กพท 08/10388,กพท 08/10377,,,,,,28 OCT 18 - 31 MAR 19
HXA,G5+NUMBER,CHINA EXPRESS,กพท 08/10301,,CRJ900/A320,,,,,28 OCT 18 - 31 MAR 19
ICV,C8+NUMBER,CARGOLUX ITALIA,,,,,,,,25 MAR 18 - 27 OCT 18
IDX,"XT+NUMBER(XT250/XT251)(XT852,853)",INDONESIA AIRASIA EXTRA,,,A330,,,,,25 MAR 18 - 27 OCT 18
IGO,6E+NUMBER,INDIGO,กพท 08/9088,,A320,,,,,28 OCT 18 - 31 MAR 19
IGO,IG+NUMBER,INDIGO,กพท 08/10680,,A320,DELHI,,BKK,,28 OCT 18 - 30 MAR 19
IRM,"W5 083,W5 082",MAHAN AIR,กพท 08/8607,,A300/A310/A340,,,,,28 OCT 18 - 30 MAR 19
IRM,"W5 051,W5 050",MAHAN AIR,กพท 08/9352,,A300/A310/A340/B747,,,,,28 OCT 18 - 30 MAR 19
